n	pval	log10.pval
3	0.00384507146201813	-2.41509558427042
4	0.0953600824488478	-1.0206333821103
5	0.00118449799774962	-2.92646566906281
6	0.0161722370731834	-1.7912299008518
7	0.00666866342801116	-2.17596120116676
8	7.7022623201606e-05	-4.1133816944567
9	1.92595372438219e-05	-4.71535415204373
10	5.14670673341586e-05	-4.28847057775485
11	6.97604665869724e-05	-4.15639062332392
12	9.77557006063554e-06	-5.00985790738789
13	1.82377374921217e-07	-6.73902903967168
14	1.03011828849792e-05	-4.9871129023897
15	2.28414788156272e-07	-6.64127578218293
16	1.33410538099537e-07	-6.87480986413971
17	3.62843737401243e-09	-8.44028036833979
18	3.76259997691895e-06	-5.42451195150511
19	2.69605126613112e-11	-10.5692718538332
20	1.61275174559275e-10	-9.7924324793667
21	7.91383315590374e-10	-9.10161311002579
22	6.25538323161676e-14	-13.2037460784121
23	8.57527720838962e-10	-9.06675183185335
24	2.83413529371587e-08	-7.54757942158617
25	4.77819295558085e-09	-8.32073631631658
26	6.29773082816004e-11	-10.2008159055196
27	2.33602804989966e-10	-9.63152194672937
28	4.40475649118598e-14	-13.3560780957553
29	1.67284710827359e-11	-10.7765437500522
30	1.52217682561198e-12	-11.8175348942626
31	9.59982708351817e-13	-12.0177365896011
32	2.64102513914117e-13	-12.578227464852
33	1.62430009347194e-16	-15.789333730699
34	7.45758708663325e-16	-15.127401666424
35	8.68546996740281e-15	-14.0612066770755
36	2.56271532418684e-14	-13.5912996341596
37	4.70009650634322e-13	-12.3278932246724
38	1.90476079845548e-19	-18.720159555649
39	1.68791024208899e-13	-12.7726506515503
40	4.72571440131653e-15	-14.3255325285099
41	2.33629378953065e-15	-14.6314725454854
42	3.19891642430093e-19	-18.4949971062551
43	7.18849318743828e-18	-17.1433621345075
44	9.60562644756646e-18	-17.0174743066118
45	1.16782038774638e-17	-16.9326239471285
46	3.87240126449751e-19	-18.4120196467335
47	3.09364104946939e-15	-14.5095300782508
48	1.04718471508609e-18	-17.9799767054587
49	9.68276137021708e-23	-22.0140007711184
50	6.08485668238819e-16	-15.2157496463215
51	1.50380456165648e-27	-26.822808602115
52	8.21936529116741e-22	-21.0851617178841
53	1.52364314793545e-22	-21.8171167370842
54	4.36544891208261e-27	-26.35997108987
55	1.9421344529044e-24	-23.7117207074181
56	6.41111725987869e-24	-23.1930662797607
57	7.99867192417649e-29	-28.0969821159933
58	2.64961468890193e-23	-22.576817277252
59	1.11696482159195e-27	-26.9519605046186
60	2.10078283853093e-22	-21.6776188390277
61	9.58839365076064e-24	-23.018254144346
62	7.47614031080478e-28	-27.126322556459
63	2.18483416420242e-23	-22.6605815217622
64	5.36285690141366e-28	-27.2706037912815
65	3.67522962568164e-24	-23.4347155213278
66	9.96852371713971e-25	-24.0013691535211
67	2.20077200367649e-24	-23.6574249473031
68	1.74302471487827e-28	-27.7586964548526
69	1.03853697291605e-25	-24.983578037552
70	3.77939715256662e-35	-34.4225774684679
71	2.34262329034494e-39	-38.6302975432758
72	1.31675029727509e-29	-28.8804965749223
73	8.4616839559774e-32	-31.0725431996072
74	1.58067412699042e-31	-30.8011576553286
75	8.66113950255003e-38	-37.0624249662836
76	4.71070977327769e-35	-34.3269136518107
77	9.66668940295671e-30	-29.0147222353483
78	1.3063670796654e-34	-33.8839347723159
79	3.20433296711778e-32	-31.4942623620421
80	8.6422873592871e-30	-29.0633712973308
81	2.75553975492009e-35	-34.5597933189089
82	2.11984093646768e-30	-29.6736967253949
83	3.21622690711054e-33	-32.4926533190561
84	1.10534692083912e-26	-25.9565013942324
85	1.09878868383831e-34	-33.9590858219234
86	2.51541522872932e-33	-32.5993903141225
87	1.1705174767098e-32	-31.9316220975744
88	6.513567125074e-39	-38.1861811069069
89	7.72378292363648e-33	-32.1121699405363
90	1.98946923852058e-37	-36.7012627715938
91	1.31655682766357e-28	-27.8805603903308
92	4.23928081565961e-38	-37.3727078142287
93	1.92111721087323e-34	-33.7164461372296
94	7.00720100418441e-36	-35.1544554244279
95	6.59760150984478e-38	-37.1806139190577
96	5.93156786427483e-31	-30.2268304963822
97	3.27234675280082e-37	-36.4851406827364
98	8.84421275613836e-32	-31.0533408185916
99	2.58301311037559e-40	-39.5878733895103
100	2.5947578485558e-32	-31.5859031657319
101	5.81396778739936e-37	-36.2355273787908
102	8.04506784270219e-38	-37.0944702892173
103	1.08913863273396e-34	-33.9629168368655
104	2.37088958956579e-41	-40.625088670298
